Title,Body,Assignees,Status,Priority,Type,Week,Milestone,Labels,Epic ID,Parent Epic,Story ID,Depends On,Estimate,Acceptance Criteria,Iteration
Implement ApprovalService,"## Story
Support create, approve, reject, validate transitions, and audit hooks.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,backend,approvals,service",,E-08,S-08-02,S-08-01,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Expose approval API endpoints,"## Story
Add list, detail, approve, and reject API endpoints with auth checks.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,backend,approvals,api",,E-08,S-08-03,S-08-02,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Gate sensitive WhatsApp outbound messages,"## Story
Require approval before sending risky client-facing commitments.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,backend,whatsapp,approvals,safety",,E-08,S-08-04,S-08-03,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Gate durable memory promotions,"## Story
Require approval before promoting changes into durable MEMORY.md.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,backend,memory,approvals",,E-08,S-08-05,S-08-04,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Add approval queue and detail UI,"## Story
Build the frontend approval queue and review screens.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,frontend,approvals,ux",,E-08,S-08-06,S-08-05,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Add approval RBAC and audit trail,"## Story
Restrict approval actions to the right roles and capture all lifecycle events.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,backend,rbac,audit,approvals",,E-08,S-08-07,S-08-06,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Test approval and safety flows,"## Story
Add automated tests for blocked unsafe actions and approval transitions.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Approvals and Safe Operations**.
",,Todo,P0,Story,8,Week 8 — Approvals and Safe Operations,"week-8,story,testing,approvals,security",,E-08,S-08-08,S-08-07,3,"- Deliverable for Week 8 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 8
Epic: Official WhatsApp Business Path,"## Goal
Start the production-grade WhatsApp backend path suitable for the sellable SaaS.

## Scope
- - Choose official WhatsApp provider
- Create WhatsApp account and contact models
- Build official WhatsApp webhook receiver
- Implement outbound message service
- Map official WhatsApp traffic to tenant and project context
- Build customer conversation UI

## Exit criteria
All P0 stories for Week 9 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,9,Week 9 — Official WhatsApp Business Path,"week-9,epic,mvp",E-09,,,E-08,8,Weekly milestone 'Week 9 — Official WhatsApp Business Path' achieved.,Week 9
Choose official WhatsApp provider,"## Story
Decide between Meta WhatsApp Business Platform and Twilio WhatsApp for the MVP path.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Official WhatsApp Business Path**.
",,Todo,P0,Story,9,Week 9 — Official WhatsApp Business Path,"week-9,story,planning,whatsapp,saas",,E-09,S-09-01,E-08,3,"- Deliverable for Week 9 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 9
Create WhatsApp account and contact models,"## Story
Add entities for WhatsApp accounts, contacts, conversations, and messages.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Official WhatsApp Business Path**.
",,Todo,P0,Story,9,Week 9 — Official WhatsApp Business Path,"week-9,story,backend,whatsapp,database",,E-09,S-09-02,S-09-01,3,"- Deliverable for Week 9 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 9
Build official WhatsApp webhook receiver,"## Story
Receive, verify, and store inbound messages from the official provider.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Official WhatsApp Business Path**.
",,Todo,P0,Story,9,Week 9 — Official WhatsApp Business Path,"week-9,story,backend,whatsapp,webhooks",,E-09,S-09-03,S-09-02,3,"- Deliverable for Week 9 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 9
Implement outbound message service,"## Story
Send outbound messages, record delivery state, and link them to conversations.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Official WhatsApp Business Path**.
",,Todo,P0,Story,9,Week 9 — Official WhatsApp Business Path,"week-9,story,backend,whatsapp,messaging",,E-09,S-09-04,S-09-03,3,"- Deliverable for Week 9 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 9
Map official WhatsApp traffic to tenant and project context,"## Story
Resolve inbound and outbound messages to the right organization, project, and contact.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Official WhatsApp Business Path**.
",,Todo,P0,Story,9,Week 9 — Official WhatsApp Business Path,"week-9,story,backend,multi-tenant,whatsapp",,E-09,S-09-05,S-09-04,3,"- Deliverable for Week 9 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 9
Build customer conversation UI,"## Story
Create contacts, conversation timeline, message thread, and escalation UI.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Official WhatsApp Business Path**.
",,Todo,P1,Story,9,Week 9 — Official WhatsApp Business Path,"week-9,story,frontend,whatsapp,ux",,E-09,S-09-06,S-09-05,2,"- Deliverable for Week 9 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 9
Epic: Retrieval Quality and Memory UX,"## Goal
Improve memory quality with hybrid retrieval, ranking, better summaries, and a stronger memory explorer experience.

## Scope
- - Implement hybrid retrieval ranking
- Add source weighting and duplicate suppression
- Expand supported memory source types
- Build detailed source viewer UI
- Add memory promotion suggestions
- Create daily summary job

## Exit criteria
All P0 stories for Week 10 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,10,Week 10 — Retrieval Quality and Memory UX,"week-10,epic,mvp",E-10,,,E-09,8,Weekly milestone 'Week 10 — Retrieval Quality and Memory UX' achieved.,Week 10
Implement hybrid retrieval ranking,"## Story
Combine keyword, vector, recency, and source priority into a unified ranking strategy.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Retrieval Quality and Memory UX**.
",,Todo,P0,Story,10,Week 10 — Retrieval Quality and Memory UX,"week-10,story,backend,search,memory",,E-10,S-10-01,E-09,3,"- Deliverable for Week 10 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 10
Add source weighting and duplicate suppression,"## Story
Improve retrieval quality by weighting durable docs higher and removing duplicates.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Retrieval Quality and Memory UX**.
",,Todo,P0,Story,10,Week 10 — Retrieval Quality and Memory UX,"week-10,story,backend,memory,quality",,E-10,S-10-02,S-10-01,3,"- Deliverable for Week 10 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 10
Expand supported memory source types,"## Story
Support docs, PRs, tickets, WhatsApp, incidents, and releases in retrieval and display.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Retrieval Quality and Memory UX**.
",,Todo,P1,Story,10,Week 10 — Retrieval Quality and Memory UX,"week-10,story,backend,memory,taxonomy",,E-10,S-10-03,S-10-02,2,"- Deliverable for Week 10 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 10
Build detailed source viewer UI,"## Story
Allow users to inspect the exact chunk, summary, and source metadata behind a result.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Retrieval Quality and Memory UX**.
",,Todo,P1,Story,10,Week 10 — Retrieval Quality and Memory UX,"week-10,story,frontend,memory,ux",,E-10,S-10-04,S-10-03,2,"- Deliverable for Week 10 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 10
Add memory promotion suggestions,"## Story
Surface proposed durable memory updates for review.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Retrieval Quality and Memory UX**.
",,Todo,P1,Story,10,Week 10 — Retrieval Quality and Memory UX,"week-10,story,frontend,memory,approvals",,E-10,S-10-05,S-10-04,2,"- Deliverable for Week 10 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 10
Create daily summary job,"## Story
Run a background job that curates daily activity into summaries and long-term memory proposals.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Retrieval Quality and Memory UX**.
",,Todo,P0,Story,10,Week 10 — Retrieval Quality and Memory UX,"week-10,story,backend,jobs,memory",,E-10,S-10-06,S-10-05,3,"- Deliverable for Week 10 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 10
Epic: Billing and Product Polish,"## Goal
Make the MVP feel like a SaaS product with usage tracking, limits, onboarding, settings, and polish.

## Scope
- - Create subscription and plan models
- Implement usage tracking
- Add quota enforcement hooks
- Build onboarding wizard
- Build settings and admin screens
- Polish dashboard and error states

## Exit criteria
All P0 stories for Week 11 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,11,Week 11 — Billing and Product Polish,"week-11,epic,mvp",E-11,,,E-10,8,Weekly milestone 'Week 11 — Billing and Product Polish' achieved.,Week 11
Create subscription and plan models,"## Story
Add tables and services for plans, subscriptions, and plan assignment.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Billing and Product Polish**.
",,Todo,P1,Story,11,Week 11 — Billing and Product Polish,"week-11,story,backend,billing,database",,E-11,S-11-01,E-10,2,"- Deliverable for Week 11 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 11
Implement usage tracking,"## Story
Track usage for users, projects, WhatsApp conversations, memory size, and agent runs.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Billing and Product Polish**.
",,Todo,P1,Story,11,Week 11 — Billing and Product Polish,"week-11,story,backend,billing,usage",,E-11,S-11-02,S-11-01,2,"- Deliverable for Week 11 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 11
Add quota enforcement hooks,"## Story
Enforce plan limits at the right service boundaries.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Billing and Product Polish**.
",,Todo,P1,Story,11,Week 11 — Billing and Product Polish,"week-11,story,backend,billing,limits",,E-11,S-11-03,S-11-02,2,"- Deliverable for Week 11 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 11
Build onboarding wizard,"## Story
Create a guided first-run setup for organization, project, repos, and channels.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Billing and Product Polish**.
",,Todo,P1,Story,11,Week 11 — Billing and Product Polish,"week-11,story,frontend,onboarding,ux",,E-11,S-11-04,S-11-03,2,"- Deliverable for Week 11 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 11
Build settings and admin screens,"## Story
Add organization settings, project settings, user management, and plan/usage screens.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Billing and Product Polish**.
",,Todo,P1,Story,11,Week 11 — Billing and Product Polish,"week-11,story,frontend,settings,admin",,E-11,S-11-05,S-11-04,2,"- Deliverable for Week 11 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 11
Polish dashboard and error states,"## Story
Improve empty states, loading states, errors, and general UX consistency.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Billing and Product Polish**.
",,Todo,P2,Story,11,Week 11 — Billing and Product Polish,"week-11,story,frontend,ux,polish",,E-11,S-11-06,S-11-05,1,"- Deliverable for Week 11 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 11
Epic: Pilot Launch and Hardening,"## Goal
Prepare the MVP for its first real users with testing, security review, documentation, and pilot onboarding.

## Scope
- - Run end-to-end test pass on critical flows
- Review auth, permissions, and tenant isolation
- Review audit logs, routing, and memory correctness
- Document backup and deployment runbooks
- Create pilot onboarding and demo materials
- Onboard first pilot customer or internal team

## Exit criteria
All P0 stories for Week 12 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,12,Week 12 — Pilot Launch and Hardening,"week-12,epic,mvp",E-12,,,E-11,8,Weekly milestone 'Week 12 — Pilot Launch and Hardening' achieved.,Week 12
Run end-to-end test pass on critical flows,"## Story
Test login, projects, memory, GitHub ingestion, WhatsApp, approvals, and support flow.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Pilot Launch and Hardening**.
",,Todo,P0,Story,12,Week 12 — Pilot Launch and Hardening,"week-12,story,testing,e2e,release",,E-12,S-12-01,E-11,3,"- Deliverable for Week 12 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 12
"Review auth, permissions, and tenant isolation","## Story
Perform a focused security and multi-tenant correctness review.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Pilot Launch and Hardening**.
",,Todo,P0,Story,12,Week 12 — Pilot Launch and Hardening,"week-12,story,security,rbac,multi-tenant",,E-12,S-12-02,S-12-01,3,"- Deliverable for Week 12 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 12
"Review audit logs, routing, and memory correctness","## Story
Confirm operational traceability and data correctness in the MVP.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Pilot Launch and Hardening**.
",,Todo,P0,Story,12,Week 12 — Pilot Launch and Hardening,"week-12,story,audit,operations,memory",,E-12,S-12-03,S-12-02,3,"- Deliverable for Week 12 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 12
Document backup and deployment runbooks,"## Story
Create backup, restore, deploy, rollback, and incident runbooks.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Pilot Launch and Hardening**.
",,Todo,P1,Story,12,Week 12 — Pilot Launch and Hardening,"week-12,story,docs,devops,runbook",,E-12,S-12-04,S-12-03,2,"- Deliverable for Week 12 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 12
Create pilot onboarding and demo materials,"## Story
Prepare a pilot onboarding guide, demo script, and release notes.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Pilot Launch and Hardening**.
",,Todo,P1,Story,12,Week 12 — Pilot Launch and Hardening,"week-12,story,docs,sales,pilot",,E-12,S-12-05,S-12-04,2,"- Deliverable for Week 12 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 12
Onboard first pilot customer or internal team,"## Story
Run the first pilot and capture structured feedback for the next roadmap.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Pilot Launch and Hardening**.
",,Todo,P0,Story,12,Week 12 — Pilot Launch and Hardening,"week-12,story,pilot,feedback,launch",,E-12,S-12-06,S-12-05,3,"- Deliverable for Week 12 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 12
